,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1528631716.71,4.717294367363502,0.05457315575232409,0.22944042828425745,0.285125832211834,180.37775037799386,174.27568506809166
1528631716.76,4.6261024959582935,0.07212618548371567,0.23060414368560292,0.27520988950427305,180.3405178760226,174.5913000769173
1528631716.81,4.137008176863772,0.07233542055240628,0.23607097355263995,0.2680972381534423,180.34050733619262,173.90780526037338
1528631716.86,4.1842813152205345,0.0794103922623525,0.2611802105869448,0.2881797927870167,179.87888664610435,172.12212965071797
1528631716.91,3.787500993604866,0.07101325756152725,0.281267176787231,0.269462805059553,179.0042912780084,171.62326394192846
1528631716.96,3.9542041056005255,0.08837210620937012,0.3131098230315096,0.25130697852628475,179.5519650418316,170.62410295977628
1528631717.01,3.856909176840352,0.07976327767967542,0.3342903234027293,0.269348290861832,179.70150580637457,169.12828134524528
1528631717.06,5.647482490249265,0.14079937168119738,0.34009328093043834,0.29300857462069235,171.95189359793457,162.95945570062574
1528631717.11,5.691287390294906,0.1357567836646643,0.32538737493961145,0.297372989182604,152.46438614955568,146.7652349280617
1528631717.16,6.020602686779817,0.16752541032664256,0.3230738123610742,0.3265446266926753,128.06985513734645,124.14002840297118
1528631717.21,5.909747301015044,0.14777454079538427,0.3048812260597919,0.33252747463372456,100.20293559424123,98.68773229346259
1528631717.26,5.639120770780742,0.13869216944638657,0.2898894778877803,0.33258910766043953,71.39364817854425,71.58536478578613
1528631717.31,3.6518333408698336,0.07848158445574835,0.27297437763382537,0.3399063143524437,48.56476791559426,49.36256097393723
1528631717.36,3.00228467387958,0.07163212532414895,0.24256218592850542,0.3115030376322552,37.63859633651899,37.56090086462139
1528631717.41,2.8358195246086106,0.03974793950405793,0.19516699217739691,0.2700580779150021,31.737622779404848,31.320797512044887
1528631717.46,2.344403784261257,0.044981356889785176,0.16383205663735192,0.247247332570384,27.38467278851133,27.77186911283287
1528631717.51,2.221203013306699,0.04428979537800371,0.12395056752425078,0.22521155417120717,24.426053959831815,26.008167840669
1528631717.56,1.9049711576172395,0.0378960668547432,0.09183881129155,0.1703226033747182,22.273770074412763,24.166707719128702
1528631717.61,1.7622784288563202,0.03757369833617264,0.07499652016997176,0.15581594914749755,20.624675173970804,22.542171357816684
1528631717.66,1.7213866974922436,0.04766906339847098,0.07972409765991044,0.1490303074905402,18.32402007849629,21.847331940135884
1528631717.71,1.9944436739389821,0.040651158184884066,0.08146392743184873,0.14513833273399285,18.02331992539315,21.147809519588733
1528631717.76,2.1215864038395664,0.03848412149661676,0.07832169943679278,0.12999348357562193,16.999199576663404,20.34626385770353
